n,p_fail_simulated,p_fail_sampled,p_fail_lower,p_fail_upper,ci_width
1,0.29964093357271093,0.29112662013958124,0.26385141294470865,0.31999573838475576,0.028072162720023563
3,0.2949333333333334,0.28648648648648645,0.24279642261315676,0.33456468433695247,0.04588413086189786
10,0.3041880341880342,0.3162393162393162,0.2389654111226082,0.4051968641203545,0.08311572649887314
31,0.30880952380952376,0.23809523809523814,0.1348082081101819,0.38527835082318884,0.12523507135650347
100,0.2970588235294118,0.23529411764705888,0.0955488907167594,0.47262245889171595,0.1885367840874783
316,0.31499999999999995,0.4,0.16817758120350967,0.6873304525498135,0.2595764356731519
1000,0.2828571428571428,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.2794268720713859
3162,0.32499999999999996,0.6666666666666667,0.2999883213415288,0.9032306674407831,0.30162117304962716
10000,0.32666666666666666,0.16666666666666663,0.030052585871730264,0.5635094365636459,0.26672842534595786
31622,0.2866666666666666,0.33333333333333337,0.09676933255921683,0.7000116786584712,0.3016211730496272
100000,0.30166666666666664,0.33333333333333337,0.09676933255921683,0.7000116786584712,0.3016211730496272
